paper_id,sample_id,condition,scale,r
Altay_2023,2,control,4,0.0788044168287227
Altay_2023,3,control,4,-0.054885469879533036
Altay_2023,4,control,4,-0.10801246689067631
Altay_2023,5,control,4,0.15276466900092342
Altay_2023,6,control,4,0.0694981336626861
Altay_2023,7,control,4,0.12165587273958982
Altay_2023,8,control,4,0.09037309575404051
Altay_2023,9,control,4,-0.010029881616451916
Bago_2020,1,control,binary,-0.1017901763050291
Bago_2020,3,control,binary,0.35176904801238323
Bago_2022,1,control,binary,0.44971068129983527
Bago_2022,2,control,binary,0.41525641951147046
Bago_2022,3,treatment,binary,0.38400766114724294
Bago_2022,4,treatment,binary,0.3148769040837559
Bago_2022,5,control,binary,0.24573193196475174
Bago_2022,6,treatment,binary,0.31318857591331856
Bago_2022,7,control,binary,0.04430205611069725
Bago_2022,7,treatment,binary,0.005358139930153408
Chen_2021,2,control,6,0.394562668160262
Erlich_2023,1,control,6,-0.22372721713006913
Luo_2022,1,control,7,-0.14727209690951273
Luo_2022,1,treatment,7,-0.07141041328121876
Luo_2022,2,control,7,0.23244527302666954
Luo_2022,3,control,7,0.13440131884472428
Rathje_2023,1,treatment,6,0.13679111318805187
Rathje_2023,2,control,6,0.12057950297820016
Rathje_2023,3,treatment,6,0.18456243690476307
Rathje_2023,4,control,6,0.40551056163287685
Rathje_2023,5,treatment,6,0.42793847814223335
Rathje_2023,6,treatment,6,0.31786672067533456
Rathje_2023,7,treatment,6,0.02003895470433826
Rathje_2023,8,control,6,0.20446384365576256
Rathje_2023,9,treatment,6,0.21581064676631784
Rathje_2023,10,control,6,0.4356005781020179
Rathje_2023,11,control,6,0.20993862199265587
Rathje_2023,12,treatment,6,0.11934637453105315
Rathje_2023,NA,treatment,6,0.10360440557250382
Sultan_2022,1,control,binary,0.08508753340750158
Sultan_2022,2,treatment,binary,0.20921706399322135
